1.1161,0.9539,0.0000,0.0368,0.0000,0.0494,0.0749,0.0090,0.0003,0.0002,0.0020,0.0058,7
1.1517,1.0160,0.0000,0.0239,0.0000,0.0491,0.0895,0.0084,0.0003,0.0002,0.0016,0.0056,7
1.3259,1.1429,0.0000,0.0246,0.0000,0.0634,0.1167,0.0084,0.0002,0.0002,0.0016,0.0056,7
1.1556,0.9855,0.0000,0.0061,0.0000,0.0531,0.1021,0.0080,0.0003,0.0002,0.0012,0.0056,7
1.1035,0.9326,0.0000,0.0128,0.0000,0.0356,0.0674,0.0090,0.0002,0.0002,0.0021,0.0057,7
2.3205,2.1366,0.0000,0.0276,0.0000,0.0472,0.0990,0.0432,0.0005,0.0005,0.0281,0.0099,7
2.2201,2.0631,0.0000,0.0169,0.0000,0.0605,0.0784,0.0490,0.0004,0.0005,0.0322,0.0116,7
2.3427,2.1351,0.0000,0.0137,0.0000,0.0919,0.1544,0.0473,0.0004,0.0005,0.0317,0.0104,7
2.3451,2.1239,0.0000,0.0248,0.0000,0.0521,0.0967,0.0464,0.0005,0.0006,0.0297,0.0109,7
2.4615,2.2503,0.0000,0.0341,0.0000,0.0592,0.1143,0.0501,0.0004,0.0008,0.0330,0.0109,7
4.7432,4.5691,0.0000,0.0167,0.0000,0.0592,0.0828,0.0724,0.0010,0.0005,0.0431,0.0264,7
4.8597,4.7402,0.0000,0.0120,0.0000,0.0652,0.0970,0.0776,0.0010,0.0007,0.0480,0.0267,7
4.9740,4.8618,0.0000,0.0162,0.0000,0.0713,0.1186,0.0775,0.0010,0.0005,0.0476,0.0272,7
4.8572,4.6647,0.0000,0.0130,0.0000,0.0501,0.0915,0.0776,0.0011,0.0006,0.0475,0.0270,7
4.8791,4.7671,0.0000,0.0349,0.0000,0.0546,0.0983,0.0736,0.0015,0.0005,0.0448,0.0256,7
9.8090,9.6927,0.0000,0.0266,0.0000,0.0605,0.1089,3.4890,0.0019,0.0022,3.4041,0.0514,7
9.3582,9.1744,0.0000,0.0215,0.0000,0.0906,0.1124,3.6264,0.0020,0.0024,3.5407,0.0519,7
9.9259,9.7253,0.0000,0.0246,0.0000,0.0772,0.1354,3.9462,0.0020,0.0023,3.8543,0.0562,7
9.0063,8.9016,0.0000,0.0319,0.0000,0.0627,0.1404,3.4060,0.0019,0.0021,3.3227,0.0505,7
9.6639,9.5350,0.0000,0.0288,0.0000,0.0615,0.1166,4.0711,0.0020,0.0024,3.9744,0.0599,7
20.4207,20.1989,0.0000,0.0272,0.0000,0.0702,0.1430,6.8624,0.0042,0.0027,6.7435,0.0989,7
20.5874,20.3869,0.0000,0.0313,0.0000,0.1100,0.2202,6.3980,0.0036,0.0021,6.2880,0.0922,7
19.3633,19.2357,0.0000,0.0535,0.0000,0.0857,0.1551,6.1205,0.0033,0.0021,6.0117,0.0912,7
19.6639,19.4439,0.0000,0.0300,0.0000,0.0742,0.1336,6.4011,0.0037,0.0023,6.2831,0.0983,7
18.7286,18.5535,0.0000,0.0271,0.0000,0.0804,0.1087,6.1324,0.0033,0.0021,6.0151,0.0983,7
